subject,order,condition,TT,TN,TFF,CN,CR,avgT,avgC,Degree
1,1,T,820,89,89,89,1,9.213483146,9.213483146,2
1,1,F,921,89,89,89,1,10.34831461,10.34831461,2
2,1,T,412,89,89,89,1,4.629213483,4.629213483,4
2,1,F,496,89,89,89,1,5.573033708,5.573033708,4
3,1,T,900,68,74,68,0.918918919,13.23529412,13.23529412,3
3,1,F,1468,89,101,85,0.841584158,16.49438202,17.27058824,3
4,1,T,900,53,38,36,0.947368421,16.98113208,25,4
4,1,F,1620,89,99,89,0.898989899,18.20224719,18.20224719,4
5,2,T,881,89,89,89,1,9.898876404,9.898876404,5
5,2,F,809,89,89,89,1,9.08988764,9.08988764,5
6,2,T,900,39,40,29,0.725,23.07692308,31.03448276,7
6,2,F,1353,89,89,89,1,15.20224719,15.20224719,7
7,2,T,900,37,37,37,1,24.32432432,24.32432432,3
7,2,F,2775,89,108,89,0.824074074,31.17977528,31.17977528,3
8,2,T,900,54,55,54,0.981818182,16.66666667,16.66666667,2
8,2,F,1575,89,91,89,0.978021978,17.69662921,17.69662921,2